z_cluster,z_minScore,z_maxScore
110580,"",""
111780,"",""
25560,0.9868374262327831,0.9946233689486353
55050,"",""
100647,0.7888916410777219,0.9909857132033922
90810,"",""
127707,0.9883598916416666,0.9883598916416666
118860,"",""
15690,0.7320165290306506,0.9949109049845081
123090,"",""
63180,"",""
5946,0.49418747181856343,0.9949827953204265
121410,"",""
16676,0.4278165503125457,0.44821587021223763
13560,"",""
74340,0.9167229938037598,0.9167229938037598
37530,"",""
110250,"",""
86130,"",""
61500,"",""
11967,0.5886710808615706,0.7609258935095471
120390,0.9902107404826945,0.9902107404826945
43252,0.4298503781307487,0.9789763473709426
125490,0.8142062138050901,0.993610637781574
93720,"",""
64980,"",""
92670,"",""
9480,"",""
7712,0.41753963625516244,0.41753963625516244
45000,"",""
62160,"",""
67710,"",""
6750,0.9947774419387929,0.9947774419387929
31770,"",""
123540,"",""
97230,"",""
80640,"",""
11460,"",""
99240,"",""
8160,"",""
64560,"",""
5730,"",""
71520,"",""
95280,"",""
41353,0.981138821011245,0.9839545045035633
90,"",""
36960,"",""
91260,"",""
112260,"",""
38070,"",""
115680,"",""
26490,"",""
66060,"",""
53637,0.9417692269950197,0.9660708900836038
15300,"",""
114720,"",""
45270,"",""
6420,"",""
33344,0.4075005843668705,0.41750257350056996
37320,"",""
34830,0.6798060536630617,0.9849376750125535
1120,0.7006821670335702,0.9952227536000962
7410,"",""
77907,0.42088599660299697,0.42088599660299697
73020,"",""
50184,0.9813623356096458,0.9873595084788568
126537,0.49541215791841625,0.6046298600089589
79620,0.898023340162307,0.9843477332218454
65430,"",""
73230,"",""
46500,0.7119615708857179,0.9952227536000962
107640,"",""
26250,"",""
92154,0.7061848285003318,0.8742716159383729
14370,"",""
2280,"",""
87720,"",""
2130,"",""
113040,"",""
108420,"",""
75958,0.9429122649907418,0.9849376750125535
29580,"",""
110778,0.8018519145303082,0.9952227536000962
67920,"",""
86490,"",""
40680,0.9907090469938863,0.9907739343838489
5574,0.7479098518478334,0.9807348706372779
125790,"",""
1110,"",""
119820,"",""
5460,"",""
79590,"",""
126840,"",""
15570,"",""
130920,"",""
13914,0.9705312008119734,0.9760764312835611
86460,"",""
31750,0.4331671259937722,0.4331671259937722
2362,0.6064403187170191,0.6064403187170191
9657,0.6693808212035673,0.6693808212035673
16860,"",""
84870,"",""
69400,0.992114061325863,0.9949109049845081
324,0.9226561851140364,0.968530240584325
3540,"",""
109197,0.9828417471098121,0.9828417471098121
18840,"",""
33570,"",""
19950,"",""
108057,0.9690753584819661,0.9690753584819661
11430,"",""
129330,"",""
115440,"",""
15444,0.7947675483447606,0.993407134799422
89160,"",""
119040,"",""
130980,"",""
83340,"",""
92910,"",""
25650,"",""
41790,"",""
87930,"",""
23601,0.9918818867765093,0.9937601237018558
56280,"",""
10811,0.7545155057666054,0.9764900918246532
14359,0.5326739649789987,0.5326739649789987
7742,0.9685641315764939,0.9903550460513627
116040,"",""
45780,0.8267630337957695,0.8267630337957695
82440,"",""
114810,"",""
65520,0.981638781328102,0.9892920737929694
29337,0.9146790511089565,0.9341992521956107
96780,"",""
95130,"",""
22941,0.9198445909422962,0.9733653583599653
69211,"",""
87001,"",""
50491,"",""
40711,"",""
12631,"",""
38431,"",""
40831,0.40464644011576384,0.40464644011576384
5401,0.5403424557805989,0.5403424557805989
130351,"",""
131761,"",""
1185,0.6167141565614186,0.9644807317161986
67201,"",""
25891,0.980824310668759,0.980824310668759
3475,0.9275275586921097,0.9952227536000962
79051,"",""
64291,"",""
32851,0.963405214330904,0.963405214330904
19261,"",""
26461,"",""
19201,"",""
30511,"",""
178,0.8344082705677885,0.9952227536000962
86611,"",""
122611,"",""
70555,0.9523939899412561,0.981138821011245
60211,"",""
44971,"",""
75151,"",""
9661,"",""
77311,"",""
31681,"",""
57072,0.7307865630156152,0.9937491581699864
17035,0.5780675636342122,0.5780675636342122
103891,"",""
2191,"",""
119218,0.9947774419387929,0.9947774419387929
28111,"",""
22561,"",""
39721,"",""
119941,"",""
34258,0.9938774460869737,0.9938774460869737
23581,"",""
70321,"",""
12601,"",""
58798,0.9040496450377123,0.9785192165084415
120601,"",""
24337,0.6298774957841455,0.6298774957841455
115291,"",""
20611,"",""
56392,0.7927794018154299,0.9928184010617709
87421,"",""
12571,"",""
116011,0.9849376750125535,0.9849376750125535
8671,"",""
48571,"",""
90901,"",""
63571,"",""
87511,"",""
113461,"",""
39238,0.9447032126803253,0.9447032126803253
99271,"",""
98161,"",""
129601,"",""
100471,"",""
122161,"",""
12541,"",""
111121,0.8665484184411596,0.9912924760257257
69631,"",""
24301,"",""
37981,"",""
75661,"",""
71129,0.4137922195668669,0.4137922195668669
106921,"",""
33211,"",""
51691,"",""
67951,"",""
16291,0.4053496106790747,0.4053496106790747
131791,"",""
29218,0.9804663010433673,0.9804663010433673
6241,"",""
45961,"",""
64891,"",""
6691,"",""
5401,0.673841394339917,0.673841394339917
69481,"",""
737,0.562561220900048,0.562561220900048
8059,0.9900550912274522,0.9912497879471459
34861,"",""
101581,"",""
67558,0.9128663162770273,0.9128663162770273
41191,"",""
110491,"",""
6481,"",""
84841,"",""
28378,0.5230969872417852,0.9921553213247112
27961,"",""
21601,"",""
75451,"",""
17821,"",""
45145,0.8273545746384072,0.8273545746384072
47665,0.48494776816794055,0.5295082439204856
46471,"",""
36691,"",""
7831,"",""
29251,"",""
58201,"",""
121231,"",""
80971,"",""
55741,"",""
5967,0.5065934382850587,0.5419380682364854
65131,"",""
116701,"",""
76501,"",""
51631,0.4151050637998663,0.4212798719168326
32551,"",""
98251,"",""
47851,"",""
14002,0.6901215848748954,0.988855785310108
59742,0.976609870346655,0.976609870346655
2270,0.48986019516832446,0.5498689977433505
48151,"",""
110461,"",""
18571,0.9906652439071119,0.9906652439071119
74221,"",""
61951,"",""
119131,"",""
93511,"",""
55231,"",""
50911,"",""
31741,"",""
5543,0.6325694860695483,0.6325694860695483
60781,"",""
19802,"",""
85532,"",""
43082,"",""
23312,"",""
87572,"",""
80192,"",""
27122,"",""
86312,"",""
36662,"",""
41702,"",""
45992,"",""
15212,"",""
92282,"",""
51692,"",""
16442,"",""
70562,"",""
43652,"",""
71642,"",""
73202,"",""
31336,0.9385096149922589,0.9872959649646353
78416,0.9736914480643093,0.9871488872213199
12066,0.8243098974083823,0.8243098974083823
68132,"",""
38282,"",""
79112,"",""
58742,0.8133808904089069,0.9922323843947127
17402,"",""
89132,"",""
2734,0.4258296850651379,0.5520166343996733
68342,"",""
34952,0.4672961895874986,0.4672961895874986
20852,"",""
5582,0.9767431261509464,0.9952227536000962
56432,0.983990821437241,0.9952227536000962
65822,"",""
79142,0.9931510056080246,0.9931510056080246
13502,"",""
26273,0.696741615994224,0.9682025938394463
9062,"",""
44312,"",""
16202,"",""
15029,0.9531495203098114,0.9944434176470683
31742,"",""
15962,"",""
61562,"",""
43256,0.9564178502761592,0.9564178502761592
29192,"",""
42831,0.40781399750178976,0.9348680520730731
85562,"",""
18626,0.9916975038550923,0.9916975038550923
32612,"",""
42812,"",""
28952,"",""
61352,0.9880805823363494,0.9880805823363494
61862,"",""
84542,"",""
3365,0.4399527521008391,0.9952227536000962
89402,"",""
55313,0.903755869199342,0.9881474408643175
54659,0.9918113199795181,0.9952227536000962
63272,"",""
63332,"",""
43829,0.8205691314425212,0.9457564129268361
82136,0.9899132653337709,0.9952227536000962
44582,0.9835057109658755,0.9952227536000962
30746,0.9867478472386285,0.9898167023824539
76502,"",""
14132,0.42233489109280026,0.42233489109280026
20879,0.9816849525401746,0.9940457337322709
31892,"",""
79052,"",""
21683,0.4084459845356479,0.8442838710083435
17612,"",""
77732,"",""
54812,"",""
77432,"",""
35882,"",""
55585,0.9890424628076515,0.9946354789169107
71042,"",""
18962,"",""
54362,"",""
22202,"",""
69833,0.676052280270324,0.9874936268195187
12392,"",""
78243,"",""
62823,"",""
17310,0.9875394300641713,0.9948399587434966
35610,0.9177442967327747,0.9867306267462534
18974,0.5467423552548017,0.5467423552548017
74583,"",""
51153,"",""
82053,"",""
8853,"",""
53913,"",""
50673,"",""
72681,0.6464121231507213,0.9930730086908407
65247,0.7527983289759455,0.9884319523756451
78027,0.9796204821148716,0.9941260379004018
126993,"",""
13563,"",""
83013,"",""
71943,"",""
34533,"",""
97233,"",""
114993,0.9864877581390737,0.9933059834459689
107001,0.9278264808059543,0.9816415003663821
57225,0.9849376750125535,0.9849376750125535
100857,0.9827295386149612,0.9898372449879133
56793,"",""
103683,"",""
23517,0.987497117323123,0.9952227536000962
103143,"",""
1323,"",""
77130,0.9931945555345755,0.9952227536000962
76623,"",""
46773,"",""
119793,"",""
16413,"",""
71283,"",""
7937,0.5454962039988642,0.5454962039988642
118113,"",""
4200,0.9952227536000962,0.9952227536000962
5403,"",""
75813,"",""
16892,0.5012761005075069,0.5012761005075069
98673,"",""
114654,0.6965781595260747,0.9837470370189282
9453,"",""
90783,"",""
13803,"",""
14535,0.46922868314354166,0.985441520300065
33573,"",""
59493,"",""
79794,0.9280478397468397,0.9577417304392527
54723,0.9894401446996454,0.9896936155733514
30513,"",""
72183,"",""
46293,"",""
94683,0.9878374646336626,0.9938247598393717
66423,"",""
54493,0.4521338777033224,0.4521338777033224
89313,0.9934258893997706,0.9934258893997706
126537,0.49541215791841625,0.991273886931284
5291,0.40309429304218836,0.7043487851752905
100983,"",""
92550,0.8848998654803055,0.975270829279544
15363,"",""
81717,0.8687023897300945,0.9952227536000962
31023,"",""
47343,"",""
53103,"",""
23253,"",""
115773,"",""
45243,"",""
118293,"",""
31203,"",""
95103,"",""
57573,"",""
115353,"",""
10863,"",""
16443,"",""
3316,0.41142952667511185,0.41142952667511185
9363,"",""
92703,0.9916580143240381,0.9952227536000962
13083,"",""
113613,"",""
91593,"",""
131943,"",""
132213,"",""
20853,0.9236853246316005,0.9927326341289433
15873,"",""
116433,"",""
22320,0.9878767708907966,0.9911975740624088
132813,"",""
109383,"",""
58023,"",""
77013,0.9849376750125535,0.9849376750125535
69813,"",""
94893,"",""
72873,"",""
32223,"",""
72054,0.4895345974394409,0.9952227536000962
82953,"",""
47403,"",""
44283,"",""
120120,0.9519048970599462,0.9519048970599462
81057,0.9892062871879589,0.9919933564178508
66723,"",""
13353,"",""
6226,0.6001322860067583,0.6001322860067583
95883,"",""
54393,"",""
47493,"",""
44193,"",""
