"idAmazon","idGoogleBase"
"b000jz4hqo","http://www.google.com/base/feeds/snippets/18441480711193821750"
"b00004tkvy","http://www.google.com/base/feeds/snippets/18441110047404795849"
"b000g80lqo","http://www.google.com/base/feeds/snippets/18441188461196475272"
"b0006se5bq","http://www.google.com/base/feeds/snippets/18428750969726461849"
"b00021xhzw","http://www.google.com/base/feeds/snippets/18430621475529168165"
"b0000dbykm","http://www.google.com/base/feeds/snippets/18434163358494173665"
"b0000dbykm","http://www.google.com/base/feeds/snippets/18363672170449359273"
"b00029bqa2","http://www.google.com/base/feeds/snippets/18431790997623472871"
"b0007prnjo","http://www.google.com/base/feeds/snippets/18434733520229761009"
"b000i82j80","http://www.google.com/base/feeds/snippets/18434262004669557918"
"b000i82j80","http://www.google.com/base/feeds/snippets/6054765746746674194"
"b000in6u62","http://www.google.com/base/feeds/snippets/18434616791723899127"
"b00006hvvo","http://www.google.com/base/feeds/snippets/3409784122469217433"
"b00006hvvo","http://www.google.com/base/feeds/snippets/9687887699930800156"
"b0000ycfcw","http://www.google.com/base/feeds/snippets/321181551780335576"
"b00066dd5m","http://www.google.com/base/feeds/snippets/949436197920820923"
"b00002sac9","http://www.google.com/base/feeds/snippets/8401993747038150345"
"b000bcz8ng","http://www.google.com/base/feeds/snippets/3077454195131808819"
"b000fm18vi","http://www.google.com/base/feeds/snippets/3620383930983735395"
"b00009apna","http://www.google.com/base/feeds/snippets/3435680088823178198"
"b0009rgzgm","http://www.google.com/base/feeds/snippets/1883379429602083103"
"b000ap2wyw","http://www.google.com/base/feeds/snippets/2622452102774676117"
"b000o24l3q","http://www.google.com/base/feeds/snippets/5181661570525386541"
"b000o24l3q","http://www.google.com/base/feeds/snippets/9489728552695383239"
"b0009jlux8","http://www.google.com/base/feeds/snippets/4923451909983851979"
"b000cszg2m","http://www.google.com/base/feeds/snippets/5032391174084349054"
"b00023azve","http://www.google.com/base/feeds/snippets/4949402291543451335"
"b000ndicuy","http://www.google.com/base/feeds/snippets/2263647849333008264"
"b0000ycfdq","http://www.google.com/base/feeds/snippets/4188176128903497851"
"b0007yepy6","http://www.google.com/base/feeds/snippets/4783370532123880956"
"b000cpmtwk","http://www.google.com/base/feeds/snippets/1417708435719198149"
"b0002qnd2y","http://www.google.com/base/feeds/snippets/975032998818002648"
"b000h22pg8","http://www.google.com/base/feeds/snippets/392494394952738157"
"b0009h9q1i","http://www.google.com/base/feeds/snippets/5665024204886410"
"b000cqyclu","http://www.google.com/base/feeds/snippets/1695089910833084773"
"b0001db6i6","http://www.google.com/base/feeds/snippets/12904825904608701558"
"b000bl40dg","http://www.google.com/base/feeds/snippets/10381298233088883938"
"b000h22rbg","http://www.google.com/base/feeds/snippets/10500380486679990055"
"b000bezsyi","http://www.google.com/base/feeds/snippets/10911853136488554482"
"b0007g9760","http://www.google.com/base/feeds/snippets/11567429261409321598"
"b0001bg5gq","http://www.google.com/base/feeds/snippets/11618158047568311763"
"b000ivhozk","http://www.google.com/base/feeds/snippets/12543046747030237240"
"b000buqo9a","http://www.google.com/base/feeds/snippets/12604725900103506627"
"b00032heya","http://www.google.com/base/feeds/snippets/6195321262763979528"
"b000butd6q","http://www.google.com/base/feeds/snippets/6990565128537638388"
"b00032hexq","http://www.google.com/base/feeds/snippets/6856336028258284106"
"b000b6vlh4","http://www.google.com/base/feeds/snippets/10993073455692001778"
"b0009i9tqy","http://www.google.com/base/feeds/snippets/8804538687114603592"
"b00024yohy","http://www.google.com/base/feeds/snippets/9205821354688722990"
"b00020633g","http://www.google.com/base/feeds/snippets/5720091777255380975"
"b000cbqbby","http://www.google.com/base/feeds/snippets/5968511357343083164"
"b0002x1omi","http://www.google.com/base/feeds/snippets/7039940734695244235"
"b0009stm6g","http://www.google.com/base/feeds/snippets/7117788517647646539"
"b000ap0h94","http://www.google.com/base/feeds/snippets/7651654029530591686"
"b0000ycfe0","http://www.google.com/base/feeds/snippets/8175198959985911471"
"b00006j02n","http://www.google.com/base/feeds/snippets/18268949289189904876"
"b0000aka82","http://www.google.com/base/feeds/snippets/15883771067913561390"
"b00002s8if","http://www.google.com/base/feeds/snippets/17110430434010171078"
"b0009ren8e","http://www.google.com/base/feeds/snippets/18152695793777845265"
"b000a3x6te","http://www.google.com/base/feeds/snippets/16407653863068941558"
"b000bnb72g","http://www.google.com/base/feeds/snippets/17010841797296818807"
"b000ap422c","http://www.google.com/base/feeds/snippets/15918748426604243470"
"b000098xjo","http://www.google.com/base/feeds/snippets/16361312648941715869"
"b000314vvu","http://www.google.com/base/feeds/snippets/18384366678790095384"
"b000fa5ens","http://www.google.com/base/feeds/snippets/18384136689746651786"
"b0002e3g6o","http://www.google.com/base/feeds/snippets/18384557845547191313"
"b0007iqg2q","http://www.google.com/base/feeds/snippets/18383108968754488314"
"b000099sin","http://www.google.com/base/feeds/snippets/18383594456090582739"
"b000hj9r3u","http://www.google.com/base/feeds/snippets/18422892267475594445"
"b0007yll20","http://www.google.com/base/feeds/snippets/18425596514092797479"
"b0007yll20","http://www.google.com/base/feeds/snippets/18431066094306345892"
"b0000ak7c5","http://www.google.com/base/feeds/snippets/18424334149556003404"
"b000162zp6","http://www.google.com/base/feeds/snippets/18423412970630780827"
"b000i84dsy","http://www.google.com/base/feeds/snippets/18427191929555331953"
"b000gaoo7y","http://www.google.com/base/feeds/snippets/18384280629938052082"
"b00008ajjc","http://www.google.com/base/feeds/snippets/18424464601572004274"
"b000jj4fbw","http://www.google.com/base/feeds/snippets/18427202789383020961"
"b000kmcf0g","http://www.google.com/base/feeds/snippets/18420491833696681736"
"b000ozibhk","http://www.google.com/base/feeds/snippets/18418631443367666576"
"b000h774k0","http://www.google.com/base/feeds/snippets/18419564278412211145"
"b000162zq0","http://www.google.com/base/feeds/snippets/18424247759201075212"
"b0006g2wke","http://www.google.com/base/feeds/snippets/18422068306669698354"
"b000qs8n64","http://www.google.com/base/feeds/snippets/18422266773656246362"
"b000cpshfs","http://www.google.com/base/feeds/snippets/18422327928504968692"
"b000ehq008","http://www.google.com/base/feeds/snippets/18415416380788323186"
"b000f7ixx4","http://www.google.com/base/feeds/snippets/18416260775952371893"
"b000f7ixx4","http://www.google.com/base/feeds/snippets/18406460610458325212"
"b000brgbpa","http://www.google.com/base/feeds/snippets/18413484739795948632"
"b0000c6fjm","http://www.google.com/base/feeds/snippets/18413075895200367717"
"b00005yx8i","http://www.google.com/base/feeds/snippets/18417819850768172148"
"b000hkgj8k","http://www.google.com/base/feeds/snippets/18417354130985846422"
"b0002719lk","http://www.google.com/base/feeds/snippets/18416093365515680633"
"b00006h38u","http://www.google.com/base/feeds/snippets/18406000514365649458"
"b000lu8a10","http://www.google.com/base/feeds/snippets/18406653450238248367"
"b0006oei8u","http://www.google.com/base/feeds/snippets/18409822956112890125"
"b000f613x2","http://www.google.com/base/feeds/snippets/18428018889032699615"
"b000p9cr34","http://www.google.com/base/feeds/snippets/18421148872586071492"
"b000j4k804","http://www.google.com/base/feeds/snippets/18411875162562199123"
"b00008mopv","http://www.google.com/base/feeds/snippets/16621550764866327052"
"b000nwsclo","http://www.google.com/base/feeds/snippets/18404168006486239466"
"b000ek6ekq","http://www.google.com/base/feeds/snippets/18404187604346548446"
"b0008ews9o","http://www.google.com/base/feeds/snippets/18354430457145981051"
"b0009y6f0g","http://www.google.com/base/feeds/snippets/18404319188505755669"
"b000g017kg","http://www.google.com/base/feeds/snippets/18405135648098652581"
"b0006g31i6","http://www.google.com/base/feeds/snippets/18405362244680246986"
"b000i2qubi","http://www.google.com/base/feeds/snippets/12835181529749808477"
"b000qfqa1w","http://www.google.com/base/feeds/snippets/18405745276041721942"
"b000056b62","http://www.google.com/base/feeds/snippets/18446496383812786183"
"b000fbk6gc","http://www.google.com/base/feeds/snippets/18446612824766852081"
"b0007d8es0","http://www.google.com/base/feeds/snippets/18445465727364031756"
"b0006z16qq","http://www.google.com/base/feeds/snippets/18445827127704822533"
"b0002w37x8","http://www.google.com/base/feeds/snippets/18444171148464728826"
"b0006g31ao","http://www.google.com/base/feeds/snippets/18445341039052694828"
"b00005atxo","http://www.google.com/base/feeds/snippets/11430069725574750424"
"b000eavbdq","http://www.google.com/base/feeds/snippets/18443105453266961029"
"b000ozhfsq","http://www.google.com/base/feeds/snippets/18438075297130458214"
"b000ozhfsq","http://www.google.com/base/feeds/snippets/9997282084409978802"
"b000083k83","http://www.google.com/base/feeds/snippets/18439030063794622523"
"b0002bqqxw","http://www.google.com/base/feeds/snippets/18436194751131787997"
"b000e6q3em","http://www.google.com/base/feeds/snippets/18435517580056006507"
"b0009hmx36","http://www.google.com/base/feeds/snippets/18435954901092427938"
"b0006g2zce","http://www.google.com/base/feeds/snippets/16821958940203637711"
"b000jx3qxq","http://www.google.com/base/feeds/snippets/18435579466587005010"
"b000jx3qxq","http://www.google.com/base/feeds/snippets/13304616444690819122"
"b0000y7wc0","http://www.google.com/base/feeds/snippets/18438098517069192631"
"b000jbxxtk","http://www.google.com/base/feeds/snippets/18377982787934617712"
"b000s8jxpc","http://www.google.com/base/feeds/snippets/18415890873747923115"
"b0009zhg8k","http://www.google.com/base/feeds/snippets/18403568462989725383"
"b000e5n0mg","http://www.google.com/base/feeds/snippets/18400554570218912442"
"b000e5n0mg","http://www.google.com/base/feeds/snippets/10008484121273338467"
"b00079pmwa","http://www.google.com/base/feeds/snippets/18400846626733696167"
"b0000dzfvd","http://www.google.com/base/feeds/snippets/18398703861878507186"
"b000i2jd0s","http://www.google.com/base/feeds/snippets/18393898679155461769"
"b00099qrok","http://www.google.com/base/feeds/snippets/9755705822363275907"
"b000068xl9","http://www.google.com/base/feeds/snippets/18398774476993389905"
"b000bi7uqs","http://www.google.com/base/feeds/snippets/18403148885652932189"
"b0006g2wr2","http://www.google.com/base/feeds/snippets/18403352308945312678"
"b000hvtk9e","http://www.google.com/base/feeds/snippets/18400163697429940544"
"b000jjrwas","http://www.google.com/base/feeds/snippets/18400264612493053038"
"b000jx29wa","http://www.google.com/base/feeds/snippets/18403866794415896226"
"b00063blg8","http://www.google.com/base/feeds/snippets/18399719239824156071"
"b0002bqrq8","http://www.google.com/base/feeds/snippets/18386073325514862606"
