"id","name","description","manufacturer","price"
"http://www.google.com/base/feeds/snippets/11125907881740407428","learning quickbooks 2007","learning quickbooks 2007","intuit",38.99
"http://www.google.com/base/feeds/snippets/11538923464407758599","superstart! fun with reading & writing!","fun with reading & writing! is designed to help kids learn to read and write better through exercises puzzle-solving creative writing decoding and more!",,8.49
"http://www.google.com/base/feeds/snippets/11343515411965421256","qb pos 6.0 basic software","qb pos 6.0 basic retail mngmt software. for retailers who need basic inventory sales and customer tracking.","intuit",637.99
"http://www.google.com/base/feeds/snippets/12049235575237146821","math missions: the amazing arcade adventure (grades 3-5)","save spectacle city by disrupting randall underling's plan to drive all the stores out of business and take over the city. solve real-world math challenges in the uniquely entertaining stores and make theme successful again.",,12.95
"http://www.google.com/base/feeds/snippets/12244614697089679523","production prem cs3 mac upgrad","adobe cs3 production premium mac upgrade from production studio premium or standard","adobe software",805.99
"http://www.google.com/base/feeds/snippets/12311932123270766595","video studio 11 plus","corel video studio 11 plus is consumer video editing and dvd authoring software that lets anyone do more with video.","corel corporation",103.99
"http://www.google.com/base/feeds/snippets/13364214809208487698","edius pro 4","whether you are working with standard definition or high definition video grass valley edius pro nle software frees you from the limitations of conventional editing systems. edius pro software can be upgraded to edius broadcast at any time.","canopus/grass valley",585.99
"http://www.google.com/base/feeds/snippets/12835181529749808477","qb pos 6.0 pro multi store sw","qb pos 6.0 pro multistore retail mngmt software. has all the features in basic plus the ability to manage up to ten stores from a single office.","intuit",1054.99
"http://www.google.com/base/feeds/snippets/12949835105262366018","qb credit card kit 3.0","quickbooks credit card kit v3.0 (2007)","intuit",25.99
"http://www.google.com/base/feeds/snippets/12991998923940483779","vegas movie studiodvd+8 plat","sony media software vegas movie studio +dvd 8 platinum edition. video editing and dvd creation software vegas movie studio platinum edition software provides the power features and advanced tools you need to edit video in nearly any format ...","sony creative software",92.99
"http://www.google.com/base/feeds/snippets/13394537834910060641","qb pos 6.0 pro solution hw/sw","qb pos 6.0 pro solution hw/sw. ships in an unprinted corrugated shipper.","intuit",1474.99
"http://www.google.com/base/feeds/snippets/13665841494141374823","ares rising","decide the fate of the galaxy! a space combat simulation game which combines the action of space combat with strategic planning and a gripping plot.",,29.95
"http://www.google.com/base/feeds/snippets/10563522754094993865","evergirl: pc cd-rom video game","based on the tween lifestyle brand launched in 2004 this action/adventure game will contain loads of adventures tailored specifically to the player's personality type. the evergirl brand features a clothing and accessories line with a companion web ...",,14.99
"http://www.google.com/base/feeds/snippets/13499020603250895672","cd384-aisk9= cisco ios advanced ip services - complete package - cd","cisco systems cd384-aisk9= : usually ships in 24 hours : in stock : cisco ios (internetworking operating system) software is the platform that delivers network services and enables networked applications.",,2068.26
"http://www.google.com/base/feeds/snippets/13506048545083752063","633808063023 wasp bar code fontware - complete package - 10 users - cd - win - english","wasp bar code 633808063023 : usually ships in 24 hours : in stock : wasp fontware is a powerful bar code utility that seamlessly integrates truetype fonts with your favorite business software and database applications.",,154.6
"http://www.google.com/base/feeds/snippets/13506662111309274857","0202-034 axis camera station - license - 1 additional user","axis communications 0202-034 : usually ships in 24 hours : in stock : axis camera station is an ip-surveillance software that works with axis network cameras and video servers to provide video monitoring recording and event management functions.",,95.12
"http://www.google.com/base/feeds/snippets/13509582144618483313","eu063av aba microsoft windows xp professional - license and media - 1 user - cto - english -","hp eu063av aba : usually ships in 24 hours : : microsoft windows xp professional is the next version of the windows operating system which is designed for businesses of all sizes and for individuals who demand the most from their computing ...",,137.09
"http://www.google.com/base/feeds/snippets/13490501694625983754","bb0gyna ibm informix dynamic server enterprise edition - ( v. 9.4 ) - media - cd - linux","ibm bb0gyna : usually ships in 24 hours : : ibm informix dynamic server (ids) delivers superior reliability - meeting the needs of today's demanding e-business practices - particularly for applications requiring high-performance transactions.",,195.53
"http://www.google.com/base/feeds/snippets/13495800857575425103","eqzfn07-201 zetafax business edition - license - 5 users - win","equisys eqzfn07-201 : usually ships in 24 hours : in stock : the zetafax business edition is the equisys entry-level network fax software for 5 to 25 network users.",,499.17
"http://www.google.com/base/feeds/snippets/13498255156520573167","633808390266 wasp mobileasset professional edition combo pack with spt 1800 - ( v. 5 ) - comp","wasp bar code 633808390266 : usually ships in 24 hours : in stock : wasp mobileasset is the 1 selling industry-leading asset tracking solution for small to medium-sized businesses.",,2021.99
"http://www.google.com/base/feeds/snippets/13498594914201055159","wg017449 watchguard firebox x5500e utm software suite - subscription license ( 1 year ) +","watchguard technologies wg017449 : usually ships in 24 hours : : turn your firebox x5500e into a comprehensive unified threat management (utm) solution - the best in its class - with the utm software suite from watchguard.",,3715.48
"http://www.google.com/base/feeds/snippets/13680933987356137404","11k2990 international printing for mysap.com - complete package - 1 client - cd - englis","lexmark international 11k2990 : usually ships in 24 hours : : international printing for mysap.",,149.43
"http://www.google.com/base/feeds/snippets/13719401226624644329","5325302018 snap enterprise data replicator - license - 1 server - linux unix win","adaptec 5325302018 : usually ships in 24 hours : : snap edr is a high-performance network-optimized software solution for distributing protecting and reporting on business-critical information throughout distributed enterprises.",,663.22
